,OverallQual,GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,1stFlrSF,BsmtFinSF1,LotArea,CentralAir,OverallCond,SalePrice_log
0,7,1710,2003,2,856,856,706,8450,1,5,12.247694320220994
1,6,1262,1976,2,1262,1262,978,9600,1,8,12.109010932687042
2,7,1786,2001,2,920,920,486,11250,1,5,12.31716669303576
3,7,1717,1915,3,756,961,216,9550,1,5,11.84939770159144
4,8,2198,2000,3,1145,1145,655,14260,1,5,12.429216196844383
5,5,1362,1993,2,796,796,732,14115,1,5,11.870599909242044
6,8,1694,2004,2,1686,1694,1369,10084,1,5,12.634603026569334
7,7,2090,1973,2,1107,1107,859,10382,1,6,12.206072645530174
8,7,1774,1931,2,952,1022,0,6120,1,5,11.77452020265869
9,5,1077,1939,1,991,1077,851,7420,1,6,11.678439903447801
10,5,1040,1965,1,1040,1040,906,11200,1,5,11.771436160121729
11,9,2324,2005,3,1175,1182,998,11924,1,5,12.751299696013497
12,5,912,1962,1,912,912,737,12968,1,6,11.877568578558138
13,7,1494,2006,3,1494,1494,0,10652,1,5,12.540757571577291
14,6,1253,1960,1,1253,1253,733,10920,1,5,11.964001084330445
15,7,854,1929,2,832,854,0,6120,1,8,11.790557201568507
16,6,1004,1970,2,1004,1004,578,11241,1,7,11.911701584927597
18,5,1114,2004,2,1114,1114,646,13695,1,5,11.976659481202368
19,5,1339,1958,1,1029,1339,504,7560,1,6,11.842229212112828
20,8,2376,2005,3,1158,1158,0,14215,1,5,12.692503112461443
21,7,1108,1930,1,637,1108,0,7449,1,7,11.845102777308561
23,5,1060,1976,2,1040,1060,840,4224,1,7,11.77452020265869
24,5,1060,1968,1,1060,1060,188,8246,1,8,11.944707881395766
25,8,1600,2007,3,1566,1600,0,14230,1,5,12.454103912352162
26,5,900,1951,2,900,900,234,7200,1,7,11.811547477460344
27,8,1704,2007,3,1704,1704,1218,11478,1,5,12.631340380934517
28,5,1600,1957,1,1484,1600,1277,16321,1,6,12.24288661865289
29,4,520,1927,1,520,520,0,6324,2,6,11.134589024250317
30,4,1317,1920,1,649,649,0,8500,2,4,10.596634733096073
31,5,1228,1966,1,1228,1228,0,8544,1,6,11.914047823644255
32,8,1234,2007,2,1234,1234,0,11049,1,5,12.100156419938624
33,5,1700,1959,2,1398,1700,1018,10552,1,5,12.016726473799254
34,9,1561,2005,2,1561,1561,1153,7313,1,5,12.533576212168626
35,8,2452,2004,3,1117,1132,0,13418,1,5,12.641096555879882
36,5,1097,1994,2,1097,1097,0,10859,1,5,11.884489021402711
37,5,1297,1954,2,1297,1297,1213,8532,1,6,11.938193200374572
38,5,1057,1953,1,1057,1057,731,7922,1,7,11.59910316121128
40,6,1324,1965,2,1088,1324,643,8658,1,5,11.982929094215963
41,5,1328,1959,1,1350,1328,967,16905,1,6,12.043553716032399
42,5,884,1983,2,840,884,747,9180,1,7,11.877568578558138
43,5,938,1975,1,938,938,280,9200,1,6,11.777210959615614
44,5,1150,1959,1,1150,1150,179,7945,1,6,11.856515169360305
45,9,1752,2005,2,1752,1752,456,7658,1,5,12.675763725937609
46,7,2149,2003,2,1434,1518,1351,12822,1,5,12.387085012375499
47,8,1656,2006,3,1656,1656,24,11096,1,5,12.428015476267865
48,4,1452,1920,0,736,736,0,4456,1,5,11.635143097694478
49,5,955,1966,1,955,955,763,7742,1,7,11.751942365440728
50,6,1470,1997,2,794,794,182,13869,1,6,12.083905011555967
51,6,1176,1934,2,816,816,0,6240,1,6,11.648330101976432
52,5,816,1963,2,816,816,104,8472,2,5,11.608235644774552
53,9,1842,1981,3,1842,1842,1810,50271,1,5,12.86099861326992
54,5,1360,1955,2,384,1360,384,7134,1,5,11.77528972943772
55,6,1425,1964,2,1425,1425,490,10175,1,5,12.103486056755072
56,8,1739,1999,2,970,983,649,2645,1,5,12.058152515453552
57,7,1720,2004,2,860,860,0,11645,1,5,12.188417710291453
58,10,2945,2006,3,1410,1426,0,13682,1,5,12.991753427493052
59,5,780,1972,1,780,780,632,7200,1,7,11.73526869611367
60,6,1158,2004,2,1158,1158,941,13072,1,5,11.970350312009105
61,5,1111,1920,1,530,581,0,7200,2,7,11.522875795823397
62,8,1370,2006,2,1370,1370,24,6442,1,5,12.218495165528731
63,7,1710,1921,2,576,902,0,10300,1,6,11.84939770159144
64,7,2034,1997,2,1057,1057,739,9375,1,5,12.299107511497363
65,8,2473,2004,3,1143,1143,0,9591,1,5,12.666657052859417
67,7,1479,2003,2,1453,1479,1013,10665,1,5,12.328290278254423
68,4,747,1945,1,747,747,0,4608,1,6,11.289781913656018
69,7,2287,1953,2,1304,1304,603,15593,1,4,12.323855681186558
71,4,845,1982,2,845,845,565,7599,1,6,11.771436160121729
72,7,1718,1998,2,832,885,0,10141,1,5,12.128111104060462
73,5,1086,1954,2,1086,1086,320,10200,1,7,11.883799128308773
74,3,1605,1915,1,840,840,0,5790,2,6,11.584315461056901
75,4,988,1973,1,462,526,462,1596,1,5,11.418614785498987
76,4,952,1956,1,952,952,228,8475,1,7,11.818570237796182
77,5,1285,1948,1,672,1072,336,8635,1,5,11.751942365440728
79,5,1230,1910,2,440,682,0,10440,1,6,11.608235644774552
80,6,2142,1968,1,896,1182,448,13000,1,6,12.173032791451973
81,6,1337,1998,2,1237,1337,1201,4500,1,5,11.941455846009388
82,8,1563,2007,3,1563,1563,33,10206,1,5,12.409013489526863
83,5,1065,1960,2,1065,1065,0,8892,1,5,11.747997587149712
84,7,1474,1995,2,384,804,0,8530,1,5,12.034691028774553
85,8,2417,1991,2,1288,1301,0,16059,1,5,12.468436909997665
86,6,1560,2005,2,684,684,0,11911,1,5,12.066810578196666
87,6,1224,2009,2,612,612,0,3951,1,5,12.010665849187564
88,3,1526,1915,0,1013,1013,0,8470,2,2,11.350406535472453
89,4,990,1994,0,990,990,588,8070,1,5,11.724805824005728
91,5,1235,1961,2,1235,1235,600,8500,1,3,11.498826540590727
92,5,964,1921,2,876,964,713,13360,1,7,12.004568269319446
93,6,2291,1910,2,1214,1260,1046,7200,2,6,11.804848531679264
94,6,1786,1997,2,824,905,648,9337,1,5,12.229545001715316
95,6,1470,1993,2,680,680,310,9765,1,8,12.128111104060462
96,7,1588,1999,2,1588,1588,1162,10264,1,5,12.273731294003989
97,4,960,1965,1,960,960,520,10921,1,5,11.458997122944673
98,5,835,1920,1,458,835,108,10625,2,5,11.326595886778735
99,4,1225,1959,0,950,1225,569,9320,1,5,11.76718001130949
100,6,1610,1977,2,1610,1610,1200,10603,1,7,12.230765258120545
101,6,1732,1985,2,741,977,0,9206,1,5,12.089538829274222
103,7,1226,2009,3,1226,1226,0,10402,1,5,12.200557464842063
104,7,1818,1931,1,1040,1226,224,7758,1,4,12.040608205802641
105,8,1992,2003,2,1053,1053,0,9375,1,5,12.429216196844383
106,4,1047,1885,1,641,1047,0,10800,1,7,11.512925464970229
107,5,789,1948,1,789,789,104,6000,1,5,11.652687407345388
108,5,1517,1919,0,793,997,0,8500,2,7,11.652687407345388
109,6,1844,1977,2,1844,1844,705,11751,1,6,12.154779351142624
110,6,1855,1954,1,994,1216,444,9525,1,4,11.82700601127654
111,7,1430,2000,2,384,774,250,7750,1,5,12.100712129872347
112,7,2696,2007,3,1264,1282,984,9965,1,5,12.858319703517948
114,6,2320,1945,1,1028,1436,774,7259,1,8,12.46651198158808
115,6,1458,1999,2,729,729,419,3230,1,5,12.078239274020289
116,5,1092,1962,1,1092,1092,170,11616,1,5,11.842229212112828
117,5,1125,2006,2,1125,1125,0,8536,1,5,11.951180395901384
118,7,3222,1990,3,1673,1699,1470,12376,1,5,12.676076274775909
119,6,1456,2005,2,728,728,0,8461,1,5,12.007560729337492
120,6,988,1969,2,938,988,938,21453,1,5,12.100712129872347
121,4,1123,1939,1,732,772,0,6060,1,5,11.512925464970229
122,6,1080,1958,1,1080,1080,570,9464,1,7,11.820410164718188
123,6,1199,1993,2,1199,1199,300,7892,1,5,11.94405831982697
