,HalfBath,KitchenAbvGr,FullBath,OverallCond,BsmtHalfBath,BedroomAbvGr,OverallQual,GarageCars,Fireplaces,BsmtFullBath,SalePrice_log
0,1,1,2,5,0,3,7,2,0,1,12.247694320220994
1,0,1,2,8,1,3,6,2,1,0,12.109010932687042
2,1,1,2,5,0,3,7,2,1,1,12.31716669303576
3,0,1,1,5,0,3,7,3,1,1,11.84939770159144
4,1,1,2,5,0,4,8,3,1,1,12.429216196844383
5,1,1,1,5,0,1,5,2,0,1,11.870599909242044
6,0,1,2,5,0,3,8,2,1,1,12.634603026569334
7,1,1,2,6,0,3,7,2,2,1,12.206072645530174
8,0,2,2,5,0,2,7,2,2,0,11.77452020265869
9,0,2,1,6,0,2,5,1,2,1,11.678439903447801
10,0,1,1,5,0,3,5,1,0,1,11.771436160121729
11,0,1,3,5,0,4,9,3,2,1,12.751299696013497
12,0,1,1,6,0,2,5,1,0,1,11.877568578558138
13,0,1,2,5,0,3,7,3,1,0,12.540757571577291
14,1,1,1,5,0,2,6,1,1,1,11.964001084330445
15,0,1,1,8,0,2,7,2,0,0,11.790557201568507
16,0,1,1,7,0,2,6,2,1,1,11.911701584927597
18,1,1,1,5,0,3,5,2,0,1,11.976659481202368
19,0,1,1,6,0,3,5,1,0,0,11.842229212112828
20,1,1,3,5,0,4,8,3,1,0,12.692503112461443
21,0,1,1,7,0,3,7,1,1,0,11.845102777308561
23,0,1,1,7,0,3,5,2,1,1,11.77452020265869
24,0,1,1,8,0,3,5,1,1,1,11.944707881395766
25,0,1,2,5,0,3,8,3,1,0,12.454103912352162
26,0,1,1,7,1,3,5,2,0,0,11.811547477460344
27,0,1,2,5,0,3,8,3,1,1,12.631340380934517
28,0,1,1,6,0,2,5,1,2,1,12.24288661865289
29,0,1,1,6,0,1,4,1,0,0,11.134589024250317
30,0,1,1,4,0,3,4,1,0,0,10.596634733096073
31,1,1,1,6,0,3,5,1,0,0,11.914047823644255
32,0,1,2,5,0,3,8,2,0,0,12.100156419938624
33,1,1,1,5,1,4,5,2,1,0,12.016726473799254
34,0,1,2,5,0,2,9,2,1,1,12.533576212168626
35,1,1,3,5,0,4,8,3,1,0,12.641096555879882
36,1,1,1,5,0,3,5,2,0,0,11.884489021402711
37,0,1,1,6,1,3,5,2,1,0,11.938193200374572
38,0,1,1,7,0,3,5,1,0,1,11.59910316121128
40,0,1,2,5,0,3,6,2,1,0,11.982929094215963
41,1,1,1,6,1,2,5,1,2,0,12.043553716032399
42,0,1,1,7,0,2,5,2,0,1,11.877568578558138
43,0,1,1,6,0,3,5,1,0,1,11.777210959615614
44,0,1,1,6,0,3,5,1,0,1,11.856515169360305
45,0,1,2,5,0,2,9,2,1,1,12.675763725937609
46,1,1,1,5,0,1,7,2,1,1,12.387085012375499
47,0,1,2,5,0,3,8,3,0,0,12.428015476267865
48,0,3,2,5,0,2,4,0,0,0,11.635143097694478
49,0,1,1,7,0,3,5,1,0,1,11.751942365440728
50,0,1,2,6,1,3,6,2,0,0,12.083905011555967
51,0,1,1,6,0,3,6,2,1,0,11.648330101976432
52,0,1,1,5,0,2,5,2,0,1,11.608235644774552
