,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,GarageArea,1stFlrSF,YearBuilt,BsmtFinSF1,LotArea,OverallCond,SalePrice_log
0,7,1710,2,856,548,856,2003,706,8450,5,12.247694320220994
1,6,1262,2,1262,460,1262,1976,978,9600,8,12.109010932687042
2,7,1786,2,920,608,920,2001,486,11250,5,12.31716669303576
3,7,1717,3,756,642,961,1915,216,9550,5,11.84939770159144
4,8,2198,3,1145,836,1145,2000,655,14260,5,12.429216196844383
5,5,1362,2,796,480,796,1993,732,14115,5,11.870599909242044
6,8,1694,2,1686,636,1694,2004,1369,10084,5,12.634603026569334
7,7,2090,2,1107,484,1107,1973,859,10382,6,12.206072645530174
8,7,1774,2,952,468,1022,1931,0,6120,5,11.77452020265869
9,5,1077,1,991,205,1077,1939,851,7420,6,11.678439903447801
10,5,1040,1,1040,384,1040,1965,906,11200,5,11.771436160121729
11,9,2324,3,1175,736,1182,2005,998,11924,5,12.751299696013497
12,5,912,1,912,352,912,1962,737,12968,6,11.877568578558138
13,7,1494,3,1494,840,1494,2006,0,10652,5,12.540757571577291
14,6,1253,1,1253,352,1253,1960,733,10920,5,11.964001084330445
15,7,854,2,832,576,854,1929,0,6120,8,11.790557201568507
16,6,1004,2,1004,480,1004,1970,578,11241,7,11.911701584927597
18,5,1114,2,1114,576,1114,2004,646,13695,5,11.976659481202368
19,5,1339,1,1029,294,1339,1958,504,7560,6,11.842229212112828
20,8,2376,3,1158,853,1158,2005,0,14215,5,12.692503112461443
21,7,1108,1,637,280,1108,1930,0,7449,7,11.845102777308561
23,5,1060,2,1040,572,1060,1976,840,4224,7,11.77452020265869
24,5,1060,1,1060,270,1060,1968,188,8246,8,11.944707881395766
25,8,1600,3,1566,890,1600,2007,0,14230,5,12.454103912352162
26,5,900,2,900,576,900,1951,234,7200,7,11.811547477460344
27,8,1704,3,1704,772,1704,2007,1218,11478,5,12.631340380934517
28,5,1600,1,1484,319,1600,1957,1277,16321,6,12.24288661865289
29,4,520,1,520,240,520,1927,0,6324,6,11.134589024250317
30,4,1317,1,649,250,649,1920,0,8500,4,10.596634733096073
31,5,1228,1,1228,271,1228,1966,0,8544,6,11.914047823644255
32,8,1234,2,1234,484,1234,2007,0,11049,5,12.100156419938624
33,5,1700,2,1398,447,1700,1959,1018,10552,5,12.016726473799254
34,9,1561,2,1561,556,1561,2005,1153,7313,5,12.533576212168626
35,8,2452,3,1117,691,1132,2004,0,13418,5,12.641096555879882
36,5,1097,2,1097,672,1097,1994,0,10859,5,11.884489021402711
37,5,1297,2,1297,498,1297,1954,1213,8532,6,11.938193200374572
38,5,1057,1,1057,246,1057,1953,731,7922,7,11.59910316121128
40,6,1324,2,1088,440,1324,1965,643,8658,5,11.982929094215963
41,5,1328,1,1350,308,1328,1959,967,16905,6,12.043553716032399
